"alles-umsonst_2006" "aus-großer-zeit_1978" "ein-kapitel-für-sich_1975" "heile-welt_1998" "herzlich-willkommen_1984" "hundstage_1988" "letzte-grüße_2003" "mark-und-bein_1991" "schöne-aussicht_1981" "tadellöser-wolff_1971" "uns-gehts-ja-noch-gold_1972"
"und" 3.80558269211771 4.26140146840792 3.23170225139154 3.55674075690717 4.0487966392815 3.42115091344807 3.19058136158456 3.37386280343207 3.72670371124895 3.29387858775718 2.62135648378935
"die" 3.11515537358814 3.26796225108533 3.15811960740099 3.15230216268935 3.06065434679138 3.37368896081666 2.68990822459018 3.5635752166602 3.26868093655823 2.77978155956312 2.81511300896359
"der" 2.47851333106484 2.28872770532409 2.06980856644394 2.48664943426338 2.19874593878691 2.15523948834459 2.15491829964715 2.16660199198034 2.41445441198165 1.87655575311151 2.21126985769242
"das" 2.10750469249092 1.97711272294676 2.01996225922453 1.84895957660122 2.05285267884858 1.84868195823348 1.79943157320475 1.76346311387056 2.04143279639764 1.95478790957582 2.13038121126045
"er" 2.10311405771489 1.65040527703549 1.57015867741132 2.14086466652572 0.956066469383109 2.70144097600448 2.59839679006045 1.90574742379166 1.81031394229756 1.38277876555753 1.29798060553617
"in" 1.45330011086353 1.39738456484876 1.2259817942297 1.52840959467478 1.4620367112969 1.662724471694 1.69032178588084 1.76561893674816 1.3234891219591 1.34010668021336 1.19734008032431
"sie" 2.06030536864867 1.55097257610597 1.09543194198839 1.21331578265347 1.33890693872483 1.32737854408515 1.30579777732804 1.90143577803648 1.51105366312846 1.06985013970028 1.15125236317121
"sich" 1.34353424146296 1.05913582329389 0.802288182864738 1.28083588522947 0.968482917037436 1.54368055771685 1.47386204651245 1.46164791100763 1.24270289636181 0.969265938531877 0.719532726982007
"den" 1.35780380448503 1.19052903523646 1.10611329353541 1.21740791008232 1.01090577985638 1.34605209921882 1.09725729671703 1.14905359375674 1.20617347261347 0.972313944627889 1.04120618139749
"mit" 1.10204932878171 1.18697786734612 1.10255284301974 1.16011812607845 1.35339279432154 1.10173975288662 0.967029486040107 1.16845599965507 1.23708298501591 0.912369824739649 1.10798634298667
"nicht" 0.997771752851168 1.00853168085654 1.11442101140531 1.0850957898829 0.975725844835792 0.889328063241107 1.21516626043802 0.963652826283793 1.03336119872709 1.12979425958852 1.15971745407688
"ein" 1.05704532232748 0.948161826720763 0.955387555038631 1.07827557750148 0.926060054218488 0.91811646073885 1.1042966378347 1.05850903289786 0.943442617192714 0.933705867411735 1.01957317130522
"auf" 0.923130961658782 0.8158808228056 0.726331905197071 0.962331967017453 0.838110216667012 0.906445488780306 0.945911462687092 0.927003837364722 0.915343060463221 0.79756159512319 0.889775110751606
"zu" 0.868248026958498 0.717335913848667 0.615957939211242 0.984838667876118 0.908470086708193 1.04571908748561 1.0647003440478 1.02832751261156 0.847201635394202 0.796545593091186 0.644287474487157
"es" 1.02740853758932 0.845177957900905 0.58154025089308 0.857982717581826 0.735674523518821 0.88232548006598 1.10517655547441 0.920536368731945 0.924475416400306 0.733553467106934 0.754333656260875
"war" 1.24803793508446 0.452773906018342 0.766683677708019 1.08986993854989 0.904331270823417 0.966356478167502 1.07261960280518 1.10809295908248 0.195291919269974 0.718313436626873 0.709186504763965
"dem" 0.981306872441083 0.773266808121521 0.579166617215965 0.907088246728003 0.743952155288372 0.836419657029037 0.757609087789383 0.823524339240288 0.859143947004236 0.50495300990602 0.715770464357264
"man" 0.692622635917588 0.988112465487087 0.848574039568473 0.549709117941933 0.796722057819258 0.336902057203324 0.666097653259655 0.588539645582719 0.89216092616139 0.967233934467869 0.838043999661396
"von" 0.72006410326773 0.669395147329078 0.6254524739197 0.699753790333031 0.810173209444778 0.844200305001401 0.781366864061524 0.840770922261027 0.74815069792274 0.626873253746507 0.592556363396947
"so" 0.545536370920826 0.743969673026217 0.796354098671952 0.585174222325283 0.645655278024957 0.472285331922442 0.496273548795833 0.43547622127366 0.656124649633652 0.7000254000508 0.785372322915001
"auch" 0.694817953305599 0.630332300535339 0.522199408965214 0.625413475375623 0.623926494629886 0.459058230369425 0.692495182450923 0.510930021989393 0.662447049897788 0.574041148082296 0.585031838147462
"an" 0.701403905469633 0.54332868722201 0.472353101745808 0.641781985091016 0.533907249136022 0.687809280756901 0.622101771274209 0.644591040400121 0.628727581822397 0.531369062738125 0.455233777593845
"hatte" 1.20522924601824 0.190875274105772 0.630199741273929 0.813651337102637 0.556670736502287 0.646571846503377 0.801604969774829 0.83430345362825 0.106778315572072 0.359664719329439 0.519192242214468
"wie" 0.492848753608553 0.601035165440034 0.642067909659502 0.450816038411436 0.56287896032945 0.571877625968691 0.557867783575457 0.541111542275687 0.597115580501718 0.67259334518669 0.703543110826851
"ich" 0.124035432422643 0.501602464510516 1.056266986316 0.127537971532434 1.50756368602943 0.150166505866609 0.161904845706442 0.0603630405725866 0.141902761483938 1.79324358648717 1.09481842380007
"eine" 0.508215975324633 0.510480384236366 0.530507126835116 0.609044965660231 0.520456097510502 0.533752450904111 0.631780865311007 0.679084206441599 0.493849709520832 0.613665227330455 0.616070504801588
"daß" 0.45552835801236 0.500714672537931 0.325187813764702 0.575625924991304 0.780166794280156 0.723600261429772 0.622101771274209 0.782563704566033 0.590793180237582 0.544577089154178 0.283110262511875
"dann" 0.482969825362502 0.55043102300269 0.544748928897803 0.594040498421121 0.696355772613455 0.412374342535246 0.444358408053006 0.474281033070323 0.528974155432698 0.850393700787402 0.413848888721677
"da" 0.451137723236337 0.708457994122817 0.751255058806774 0.418761040218792 0.53597665707841 0.348573029161869 0.340528126567353 0.409606346742552 0.538106511369783 0.704089408178816 0.700721413858294
"noch" 0.563098910024917 0.511368176208951 0.658683345399305 0.552437202894498 0.543219584876767 0.437272416046808 0.469876019604565 0.500150907601431 0.458725263608967 0.493776987553975 0.633941252269115
"was" 0.493946412302559 0.423476770923037 0.606463404502783 0.509469864891593 0.526664321337665 0.459058230369425 0.53147025438419 0.457034450049584 0.515626865986189 0.615697231394463 0.573745050273234
"ist" 0.265633403949376 1.11950567742966 0.346550516858733 0.254393921826726 0.334209382695611 0.19840652329526 0.283333479986273 0.258698745311085 1.45274708291477 0.438912877825756 0.325435717040228
"im" 0.509313634018638 0.453661697990927 0.454550849167448 0.544934969274943 0.511143761769758 0.431825962466154 0.451397749170678 0.441943689906437 0.506494510049104 0.40741681483363 0.491915838185084
"aus" 0.49614172969057 0.478519873223306 0.421319977687843 0.473322739270101 0.432506259959026 0.406927888954592 0.502432972273795 0.463501918682361 0.446782951998932 0.413512827025654 0.434541333157761
"ja" 0.375399273349945 0.453661697990927 0.602902953987111 0.368973489834473 0.25867599279846 0.281659456599546 0.285093315265691 0.245763808045531 0.399716194477032 0.513081026162052 0.635822383581486
"aber" 0.500532364466593 0.324931861966104 0.420133160849286 0.466502526888687 0.256606584856073 0.270766549438237 0.532350172023899 0.327685077394041 0.309095124024419 0.368808737617475 0.44112529275106
"mal" 0.321613997343666 0.363994708759843 0.44505631445899 0.381249872121018 0.438714483786189 0.268432355046528 0.308851091537832 0.27163368257664 0.335087213999199 0.475488950977902 0.55305260583715
"einen" 0.3281999495077 0.337360949582294 0.36553958627565 0.370337532310756 0.316619415185316 0.336902057203324 0.385403926192508 0.379424826456258 0.347732014527471 0.3749047498095 0.377166828130438
"als" 0.322711656037672 0.334697573664539 0.376220937822666 0.375111680977746 0.400430436852017 0.386698204226448 0.362526067560076 0.420385461130514 0.290830412150248 0.370840741681483 0.304743272604144
"wenn" 0.289781895217501 0.443008194319907 0.436748596589088 0.297361259829631 0.3528340541771 0.273100743829946 0.224378998125775 0.250075453800716 0.396203749885846 0.565913131826264 0.341425333195384
"nach" 0.3281999495077 0.357780164951749 0.296704209639326 0.355333065071646 0.369389317716201 0.313560113286234 0.275414221228893 0.319061785883672 0.284508011886113 0.321056642113284 0.325435717040228
"hat" 0.108668210706563 0.82298315858628 0.134110302756976 0.13094807772314 0.184177306872504 0.122934237963338 0.165424516265278 0.161686715819428 0.929392838827968 0.319024638049276 0.0780669494634073
"für" 0.286488919135484 0.2601230479674 0.269407422352508 0.327370194307851 0.311445895329346 0.314338178083471 0.340528126567353 0.381580649333851 0.309095124024419 0.310896621793244 0.237022545358779
"ihm" 0.319418679955655 0.232601496817266 0.170901624752252 0.385341999549866 0.146927963909525 0.448943388005353 0.603623500840321 0.338464191782003 0.229713876263602 0.208280416560833 0.147668808021144
"doch" 0.338078877753751 0.242367208515701 0.415385893495057 0.232569242206202 0.23694720940339 0.264542031060347 0.283333479986273 0.228517225024792 0.218474053571805 0.422656845313691 0.32919797966497
"schon" 0.334785901671734 0.268113175720665 0.21600066461743 0.308955620878034 0.255571880884879 0.25753944788522 0.342287961846771 0.284568619842194 0.280293078376689 0.280416560833122 0.286872525136617
"hier" 0.366618003797899 0.187324106215432 0.22905564984156 0.324642109355285 0.254537176913685 0.284771715788491 0.373085079236583 0.411762169620144 0.246573610301297 0.220472440944882 0.218211232235066
"sei" 0.189894954062984 0.0301849270678895 0.410638626140828 0.244163603254605 0.340417606522774 0.315894307677943 0.322929773773175 0.267322036821455 0.0449592907671881 0.336296672593345 0.628297858332001
"ob" 0.259047451785342 0.240591624570531 0.305011927509228 0.246891688207171 0.308341783415765 0.264542031060347 0.288612985824527 0.306126848618118 0.220581520326517 0.244856489712979 0.344247030163941
"wir" 0.115254162870597 0.259235255994815 0.627826107596815 0.0511515928606017 0.487345570432299 0.0676916373595593 0.0519151407428265 0.0883887379812875 0.0807862255972912 0.691897383794768 0.601021454302618
"immer" 0.276609990889433 0.29918589476114 0.397583640916697 0.228477114777354 0.234877801461002 0.155612959447263 0.185662621978583 0.161686715819428 0.241656187873636 0.337312674625349 0.407264929128378
"oder" 0.143793288914745 0.296522518843385 0.318066912733358 0.255757964303008 0.280404776193531 0.234975568765367 0.181263033780038 0.241452162290346 0.226201431672415 0.473456946913894 0.258655555451048
"wieder" 0.276609990889433 0.226386953009171 0.351297784212962 0.231887220968061 0.242120729259359 0.210855560051041 0.293012574023071 0.211270642004053 0.281698056213163 0.298704597409195 0.268061212012905
"sagte" 0.375399273349945 0.0594820621631939 0.420133160849286 0.195058074108428 0.240051321316971 0.281659456599546 0.284213397625982 0.209114819126461 0.00772737810061046 0.308864617729235 0.556814868461893
"einem" 0.201969199697046 0.252132920214135 0.188703877330612 0.257122006779291 0.318688823127703 0.252092994304566 0.307971173898123 0.30828267149571 0.222688987081229 0.266192532385065 0.204102747392282
